osm_id,dist_bruxelles,dist_liege,dist_namur,dist_charleroi,dist_mons,dist_la_louviere,dist_tournai,dist_seraing,dist_verviers,dist_herstal,dist_mouscron
1011741194_1092591833_0,81.23484854491473,80.98360620783527,36.9568057848663,33.99805356204208,62.79962779720953,52.145652191684704,106.01727304646056,73.62545393157085,95.18695053222449,82.97055612220375,124.75872557585923
1011741194_2526885724_0,82.5608185013723,78.87118902897495,36.405794735485244,36.08295828763003,65.65396852974956,54.607215481466724,108.92710438233856,71.48339548844858,92.68996599569563,80.89288996486545,127.58667780962111
1012219050_1913060394_0,18.533807696265793,81.88139265477221,40.41581367898745,30.975441815562156,42.011909357807035,27.024925164219873,72.57603864628848,77.66764239319346,102.69165199294443,82.42275140158425,84.90059199791736
1012219050_4469840626_0,18.794994133835242,82.13959738410566,40.445047852813126,30.662277514010405,41.58335806453557,26.589855593864257,72.2590775715663,77.89814069229762,102.94064934307808,82.69056054502383,84.65042096591802
1012611304_31566147_0,68.04019789290801,49.169070848540514,12.1097905809158,38.763379792839615,73.70104079560724,57.45752275986889,115.5009137227236,42.05756951836494,65.70741197882208,50.98426826209315,131.6570681753227
1012611313_31565753_0,66.50326166947023,49.4754913892905,10.571395305556234,37.64881845944229,72.54147155017262,56.201346042640665,114.22025877155784,42.43935246927264,66.33808352114954,51.24572782366845,130.29933814627978
1012626018_19405488_0,74.23343654350009,47.02267374385191,18.391739688815402,44.40821809842323,79.40022898772146,63.425072331438905,121.50010087501757,39.68261660325008,62.149739630910766,49.00476076005512,137.83784871893295
1012626097_30044092_0,71.39200732744912,47.68980556800629,15.518875701144934,41.94574529126057,76.9233351621271,60.81016046041923,118.8739694377725,40.44174647287387,63.51390858540678,49.59688448632354,135.11361158017692
1012626097_30044094_0,71.39200732744912,47.68980556800629,15.518875701144934,41.94574529126057,76.9233351621271,60.81016046041923,118.8739694377725,40.44174647287387,63.51390858540678,49.59688448632354,135.11361158017692
1012809349_247718442_0,81.30458913880389,52.56075449577736,25.486002327369793,47.05156031968115,81.72860611045887,66.68517174219313,124.5577683511479,45.12417780624003,65.65762122221587,54.6868284997755,141.57800002848498
1012809374_248046344_0,81.94306406820958,51.19066629527584,26.03501613812919,48.40701995559065,83.14425756297013,67.99466225394586,125.91351581799883,43.753346815572804,64.09745938821136,53.33253144538257,142.8574658924362
1012809434_1606914837_0,80.72027310622936,55.370804046275744,25.261765248833303,44.94929586874271,79.44755290762741,64.6728649579931,122.41095754384817,47.938290758234274,68.65545984834081,57.47706464462351,139.60645344545614
1012809434_27246592_0,80.85223446070326,55.40370884723985,25.39347032088099,45.0554107630662,79.54539678446825,64.7816086790991,122.51411711566027,47.97055020722482,68.65385814535345,57.51223668231749,139.71584497172742
1013404747_1013404829_0,73.57850732220516,155.52500679052093,107.7759001836186,79.77397249516984,45.83559874440162,60.26424115981254,2.667613654535101,150.76243916355455,176.1030752914843,156.2160420865662,17.41438608847048
1013404747_3788011002_0,73.56905455059808,155.59205587784044,107.87987025739599,79.9076774551224,45.99501944334642,60.38837253904572,2.8828454508937087,150.83779176638038,176.1753373356204,156.27988506874132,17.196802886715023
1013404829_299213418_0,73.77741252696175,155.7365908456844,107.985026937083,79.9760658192134,46.02691508120635,60.46919945171421,2.812039919692457,150.9740048605597,176.31468212248774,156.42755521653226,17.282659420770436
1014716186_850011986_0,115.77232126570584,69.67498265751578,60.04056051028297,77.21840197226632,109.70306339654597,96.91317242689068,153.09715284894392,63.201154724222356,73.29473320701295,72.00281720608363,171.3257186930098
101473389_29721262_0,94.05165770577551,8.435994069584217,60.47647209379107,91.2838499706901,123.45464320395689,105.910703918638,160.24371633669693,15.843123993924586,17.29482044312353,6.551397945275556,172.66304099123508
101473392_1601747146_0,94.09732695880095,8.562282935396441,60.584015961342054,91.38629438986526,123.54553353008458,106.00100672858424,160.31786288644793,15.971304463088304,17.30199034323865,6.6688574904594295,172.72655241025038
101473392_36232744_0,94.02842219591727,8.50959767221791,60.51892261703309,91.31959613491917,123.47645700511033,105.93184720449452,160.24745121259807,15.921235375515405,17.35924240189769,6.60862690657397,172.6562311320968
101473407_101473389_0,94.00614730407868,8.309867886037447,60.36902103533136,91.18147779897049,123.36382349833363,105.82048489325226,160.16964057913205,15.714998308628427,17.288652091302573,6.434482988496866,172.59960344418806
101476104_101473407_0,93.86841085337207,8.203940873362564,60.23870762876894,91.04800077709152,123.2256244567976,105.68211416430381,160.02880506093848,15.61464438023277,17.404489286622745,6.312903612275539,172.4589663041484
1015161591_3523147448_0,41.37707602743984,80.99886620743378,29.96800231292182,8.132549827868324,35.36794544218047,18.19912568680222,76.00929417890781,75.20449166045967,100.56716865499392,82.14817696800915,92.18563644597717
1015164101_313544743_0,41.34266517601936,81.20646142810322,30.180066196583756,8.12237016663169,35.15674453246679,17.987057127460222,75.80100511168764,75.41436316437435,100.77771354677675,82.3546052859391,91.98526705581585
1015173957_356224133_0,41.09614789812456,80.6528091228949,29.702432310348282,8.486650824756993,35.68429921829153,18.470259974102444,76.22368080757907,74.8750952639888,100.24431624718002,81.79555217169576,92.34370259978824
1015196514_183446591_0,46.560960427357244,82.1147168396273,30.04519750752271,2.9606326461577432,35.37042636193727,19.291319891461974,77.32419127920451,76.02786845029203,101.22803886015245,83.38764019284251,94.17050873397382
1015656529_1015656530_0,43.90339394660929,79.12910245820015,27.540762373414886,6.669863866406486,37.623296936921136,20.794022970895224,78.79437292372106,73.18404955764505,98.47941912977592,80.34382272386782,95.16194703971564
1015656530_1015656529_0,43.90339394660929,79.12910245820015,27.540762373414886,6.669863866406486,37.623296936921136,20.794022970895224,78.79437292372106,73.18404955764505,98.47941912977592,80.34382272386782,95.16194703971564
1015888801_249371116_0,48.33548412937039,68.27079235262684,16.13270462005695,15.298523957548388,49.06928268246996,32.26737560898371,90.17841269859944,62.1148500257759,87.2948298786365,69.58891587779728,106.24837019907082
1015889015_990348345_0,48.44113104733183,67.52887728229605,15.408307025175551,16.039843734459062,49.78007396206571,32.94586201099527,90.8293568477458,61.37507493775311,86.5587777425045,68.84703302267785,106.85070293940502
1016124089_1783540928_0,79.0899611673387,164.8440421760786,119.22221071735596,92.75400507949318,60.071616344370504,72.97022892752227,18.481384292963615,160.55311269989863,185.65460726536895,165.35433429142057,1.9793723622779067
1018144112_428179230_0,66.76259530572054,149.8799855507312,103.04222763557732,75.98460936662906,43.19201683859651,56.24345321994603,7.621139384196754,145.29683674832017,170.55995987082355,150.50500893811252,18.83989497787061
1018306749_1394017892_0,49.77076450598838,66.40636125689754,14.087984953342513,17.151890651096547,51.19020444477142,34.44306327319857,92.37033318438174,60.17984443419092,85.30816937783831,67.75784390500861,108.43924946313483
1018307041_684679571_0,54.39107523445,70.9169026126719,18.44075117499739,14.048683054412322,49.03866182577733,33.334922184569244,91.3457332418784,64.39092836147154,89.16179791633758,72.4001851047434,108.18658525806973
1019305531_1634090820_0,66.70933201528224,70.58761643573685,21.883689684178574,23.44615572974768,57.161838843650656,43.21240418804723,100.34689822090306,63.51866088882153,87.01019812911206,72.35919208504214,117.98350721035249
1019305544_1634092288_0,67.39474499650251,68.60681403087959,20.700698946064318,25.227638267234376,59.201367542582055,45.030586780062734,102.33201503896925,61.505193183644884,84.89137829396466,70.39992422824419,119.87467154204938
1019305544_306231449_0,66.19748129395008,70.29567069181567,21.39911300140733,23.154674809485535,56.99713651044292,42.9386540468237,100.15133931234212,63.24344574397878,86.80026610210825,72.05720028294193,117.74259200131345
1019721204_441438631_0,145.7510184576947,60.819779363603864,96.24128406799339,124.86918423826467,159.86103689962283,143.74511016970558,201.74722258050164,60.90403190904842,44.56139314593005,61.91079607002358,217.433985322769
1019797389_1221242903_0,68.78320313059412,75.43269204482377,26.716537212630154,22.91645635459575,55.088653411826854,42.23466042872775,98.4549660682016,68.32406543816782,91.60516076616004,77.22657829147063,116.49119075139234
1019797389_6506214353_0,66.88254752461249,75.39044353526444,25.881108776666114,21.044419749784737,53.55267735661598,40.45220829272069,96.88714669046949,68.34357321966647,91.86863252074016,77.14580019851275,114.83281566512943
1020191630_6121273851_0,89.11968238931414,101.27943079144448,54.598858845697265,39.85434588317441,57.530731559678635,52.53190967936062,98.4563374843436,93.9495044367104,115.58102331384409,103.23410711441514,118.15544339799523
1020492497_3782867640_0,73.3555998572988,154.32180081819402,106.14044162084537,77.7989063437143,43.58497115660737,58.41300111262559,0.8301356429297176,149.4597036163579,174.8339105475365,155.05159225922844,20.301661693266883
1020931330_7589780274_0,94.68834838298028,181.11516873121292,135.57953776011246,108.805405517836,75.49894900397605,89.07006754262079,32.381732630337034,176.8828815952778,201.94810699787215,181.59858861990324,14.417160031106016
1020931354_1020931475_0,96.78572876293094,183.10488697797285,137.40935309854953,110.47512985701572,77.00368432837274,90.76468917993493,33.752084895436916,178.8441982701947,203.9286205074437,183.59820323507108,16.346013926470036
1020931451_1020931471_0,99.11447228381152,185.19375825869508,139.2180202895596,112.03428158332602,78.33272725440258,92.36908423090131,34.966276917206876,180.8793071517282,205.9986859635789,185.7063777096586,18.435092909615452
1020931451_262107124_0,99.97734115905435,185.92458312536624,139.81115414708444,112.51142171958612,78.71045619660127,92.87020998336939,35.32020220359343,181.58272446971887,206.71928391798298,186.447174909321,19.21252623166932
1020931451_6447434845_0,98.86164683713939,184.9004284299419,138.895762140336,111.69524038039475,77.98367485695323,92.03290508805082,34.61486307303249,180.57930792227037,205.7028446289466,185.4156034998388,18.15140380029627
